state,2014_PPCS,2014_Change,2013_PPCS,2013_Change,2012_PPCS,2012_Change,2011_PPCS,2011_Change,2010_PPCS,2010_Change,2009_PPCS,Volatility
Alabama,9027.694266,3.111985371,8755.232705,2.256094266,8562.06446,-2.844020064,8812.699399,-0.766196475,8880.743341,0.1,8870.002468,1.815659235
Alaska,18415.90636,1.325478832,18175.00057,4.511687824,17390.40001,4.296770632,16673.95827,5.648390074,15782.50105,1.5,15551.82131,3.456465472
Arizona,7527.765094,4.439853155,7207.751512,-4.64576124,7558.92093,-1.394762787,7665.841231,-2.322133154,7848.084196,0.4,7813.274023,2.640502067
Arkansas,9615.729733,2.35540935,9394.451934,-0.171850622,9410.62415,0.61197522,9353.383759,2.2986632,9143.212107,5,8711.923747,2.087579678
California,9594.761823,4.070198123,9219.50952,0.398728592,9182.894693,0.37324948,9148.747042,-2.410320844,9374.707573,-2.9,9657.491772,2.030499408
Colorado,8985.188926,3.915033623,8646.668931,1.158303556,8547.661068,-2.01858573,8723.757594,-1.457454319,8852.78286,1.5,8718.476394,2.009875446
Connecticut,17744.72198,6.695886815,16631.12095,2.196596829,16273.65437,4.208056754,15616.50306,4.763938265,14906.37267,2.6,14531.12218,4.092895733
Delaware,13937.66529,0.757469726,13832.88537,-0.228544554,13864.57209,9.299126913,12684.97973,2.441162115,12382.698,1,12257.21722,2.745260662
District of Columbia,18485.04739,-3.09885071,19076.19005,9.203581106,17468.46564,-5.448490914,18475.07862,-1.027331491,18666.84904,13.8,16407.68311,6.515650844
Florida,8755.366832,3.827607584,8432.599995,0.724148813,8371.974442,-5.790350008,8886.535979,1.661240361,8741.321616,-0.2,8760.38317,2.440669353
Georgia,9201.97683,1.136437145,9098.577219,-1.605342782,9247.023645,-0.063843644,9252.931054,-1.502043418,9394.033516,-2.7,9650.283281,1.401533398
Hawaii,12458.08109,5.372754012,11822.8675,-1.915688515,12053.78039,0.411410379,12004.39307,2.130799664,11753.94015,-5.2,12399.49743,3.006130514
Idaho,6620.752384,-2.507784181,6791.057448,1.98974857,6658.568673,-2.421862024,6823.832481,-3.96830419,7105.812746,0.2,7091.621229,2.217539793
Illinois,13077.27435,6.4354177,12286.58151,2.26022321,12015.01534,1.529025051,11834.06946,1.718402795,11634.14793,7.4,10834.55248,3.868613751
Indiana,9547.57472,-0.187524499,9565.5124,-1.580220642,9719.095554,3.706488321,9371.733352,-2.491300847,9611.176678,2.6,9369.359224,2.113106862
Iowa,10667.69371,3.440131956,10312.9158,2.735903681,10038.27818,2.358399505,9806.99017,0.447408884,9763.308261,0.6,9706.83548,1.916368805
Kansas,9972.25103,1.469774159,9827.804499,0.818165892,9748.049284,2.637859659,9497.518086,-2.234685674,9714.609063,-2.4,9950.997533,1.912097077
Kentucky,9311.875308,0,9315.903879,-0.801576068,9391.181341,0.883814787,9308.907837,4.034009254,8947.946833,2.2,8755.631791,1.583880022
Louisiana,10748.97249,2.469024207,10489.97253,-7.808932258,11378.51289,6.112966852,10723.01833,0.796606473,10638.27316,1,10532.73363,3.637505958
Maine,12706.85864,4.605216275,12147.44263,-0.341479397,12189.06578,-3.490631916,12629.93015,3.028929982,12258.62498,-0.4,12303.90592,2.373251514
Maryland,14003.02159,1.25740939,13829.13278,1.619492811,13608.74021,-1.893547027,13871.40173,0.96871956,13738.31597,2.1,13449.20187,1.567833757
Massachusetts,15087.49693,3.730035091,14544.96465,2.847163339,14142.30998,1.445239086,13940.83163,2.582563358,13589.86477,-3.7,14118.42838,2.861000175
Michigan,11110.43444,1.483967805,10947.97009,0.853476998,10855.32241,0.294228558,10823.47665,1.690190486,10643.57987,1.5,10482.86365,1.164372769
Minnesota,11463.78732,3.375366981,11089.47678,2.719453432,10795.88764,0.786738643,10711.61523,0.253074364,10684.57531,-3.7,11097.67064,2.166926684
Mississippi,8263.152871,1.633639625,8130.332537,-0.415359976,8164.243537,2.981428747,7927.87946,-2.354371052,8119.031589,0.5,8074.760685,1.57695988
Missouri,9875.323631,2.899605614,9597.047114,1.706505778,9436.020873,0.279658948,9409.705789,-2.326547202,9633.841662,1.1,9529.403451,1.662463508
Montana,11016.96822,3.688506092,10625.06215,1.534425028,10464.49236,-1.640130873,10638.98565,1.350274485,10497.24404,4.4,10059.24765,2.522667295
Nebraska,11725.88631,1.266167458,11579.27332,2.700100738,11274.84125,4.154435488,10825.11868,0.849701899,10733.91242,6.9,10045.19084,3.174081116
Nevada,8414.103932,0.897049675,8339.296302,1.414749757,8222.961967,-3.563947509,8526.854589,0.516240563,8483.061584,0.7,8422.019328,1.418397501
New Hampshire,14335.36202,4.475253742,13721.29907,0.947222853,13592.54736,2.789980791,13223.61115,6.785330533,12383.35929,3.8,11932.32593,3.759557584
New Jersey,17907.00283,-1.75947031,18227.71404,5.568548006,17266.23544,8.127371761,15968.42238,-5.182111366,16841.14951,3.5,16271.05796,4.827500289
New Mexico,9734.175859,8.012924092,9012.047346,1.269482817,8899.075116,-1.886659003,9070.198839,-3.339948762,9383.606488,-0.6,9439.272123,3.021802935
New York,20609.86801,3.997765203,19817.60663,1.357299181,19552.22445,2.496298702,19076.02976,2.458824647,18618.23989,2.7,18126.02249,2.602037546
North Carolina,8511.723051,1.449056264,8390.145127,2.314818627,8200.322534,-1.348318607,8312.400172,-1.145973238,8408.762338,-2.1,8587.137344,1.671633347
North Dakota,12357.52188,3.154890185,11979.57931,2.573209267,11679.05284,2.264794696,11420.40413,3.903688725,10991.33657,8.3,10150.69781,4.039316575
Ohio,11354.2539,1.849260915,11148.09651,-0.497215035,11203.8035,-0.169455192,11222.82116,1.745082766,11030.33272,4.5,10560.0964,1.752202781
Oklahoma,7828.990746,2.040954137,7672.400569,2.75878359,7466.418248,-1.587789634,7586.881973,-3.911490538,7895.722408,0.1,7884.869886,2.07980358
Oregon,9944.685087,4.205151108,9543.371879,0.558571616,9490.361414,-1.979503226,9682.017258,0.60666444,9623.634092,-1.9,9805.137285,1.849978078
Pennsylvania,13961.23883,0.702130726,13863.89615,3.927717259,13339.94099,-0.940984425,13466.66016,3.630141,12994.92603,3.9,12511.61342,2.620194682
Rhode Island,14767.35217,2.441812529,14415.35619,2.929427331,14005.08734,1.372888099,13815.41712,0.852592882,13698.62363,-0.1,13707.11061,1.539344168
South Carolina,9732.368047,2.299381989,9513.613726,4.005962125,9147.181115,1.794609863,8985.918928,-1.71485711,9142.703224,-1.5,9277.325736,2.262962217
South Dakota,8881.28095,4.85821908,8469.799533,0.277489776,8446.361743,-4.068049445,8804.534563,-0.606238662,8858.236618,4.1,8506.610121,2.781999392
Tennessee,8630.183068,1.584989657,8495.529799,2.42444184,8294.436022,2.554451713,8087.836153,0.286944974,8064.694916,2.1,7897.258031,1.790165637
Texas,8592.673881,3.539841206,8298.905794,0.462964479,8260.661864,-4.734013212,8671.155511,-0.851935517,8745.66292,2.4,8539.757768,2.397750883
Utah,6499.927247,-0.844203876,6555.267066,5.624784845,6206.182645,-0.097104743,6212.215,2.449952348,6063.658262,-4.6,6356.25891,2.723209162
Vermont,16987.64632,3.465165867,16418.71076,2.362252627,16039.80993,0.373078306,15980.1913,4.626705201,15273.53009,0.6,15175.28745,2.2854404
Virginia,10972.83718,0.118541622,10959.8452,2.852266036,10655.91029,2.814169472,10364.24293,-2.193137413,10596.64185,-3,10929.82793,2.195622908
Washington,10201.88831,5.482269493,9671.661745,0.354703071,9637.477317,1.630007864,9482.905217,0.326615859,9452.033377,-1,9549.812909,1.758719258
West Virginia,11260.34646,1.155168943,11131.75587,-2.73538034,11444.81509,-3.390312652,11846.44667,2.76905586,11527.25066,11.2,10366.99562,4.249983559
Wisconsin,11186.35471,1.043309832,11070.85143,0.26434024,11041.66387,-6.218374086,11773.80298,3.602533985,11364.39673,2.6,11078.45589,2.745711629
Wyoming,15797.35151,0.622530975,15699.61653,-1.241666102,15897.00424,0.302029732,15849.13514,4.482565776,15169.16724,4.1,14572.67365,2.149758517
